"ID","Collection","ENS","Minting Date","Tx Count","Power"
"2566226","0x76da95534c57516625948baa9d069d5ed371b324","willblackburn.eth","Fri, 05 Nov 2021 18:38:47 GMT","1","12"
"2566228","0x7558899d8109d8a2ce457837ade56c3d6ebfe90d","enqenx.eth","Fri, 05 Nov 2021 18:38:55 GMT","1","227"
"2566229","0xda05e32bd732488a48e108a53cb71aafe176143f","beebs.eth","Fri, 05 Nov 2021 18:39:00 GMT","1","3"
"2566232","0xec57157adeb11f9822039a48a97b365bc22cbc49","nathanng.eth","Fri, 05 Nov 2021 18:39:10 GMT","1","7"
"2566234","0xd2351ced21fc47ca43c4f916c556fec478bbbb24","","Fri, 05 Nov 2021 18:39:10 GMT","1","1"
"2566235","0xb7ae5de3e843a26ca764605f6bec916701f88556","codingwithmanny.eth","Fri, 05 Nov 2021 18:39:15 GMT","1","5"
"2566236","0xac2a91e318abf71b5ed42b11dc14b80a12de3ba6","","Fri, 05 Nov 2021 18:39:15 GMT","1","3"
"2566237","0x6a024f521f83906671e1a23a8b6c560be7e980f4","volky.eth","Fri, 05 Nov 2021 18:39:20 GMT","1","12"
"2566238","0x3e94e998a5f9efc045eb57823da62432a02e8fb8","gunvant.eth","Fri, 05 Nov 2021 18:39:27 GMT","1","15"
"2566239","0xc90c74fac03a1fd3d43ac94418019901f6a8dd56","","Fri, 05 Nov 2021 18:39:27 GMT","1","5"
"2566240","0xe898bbd704cce799e9593a9ade2c1ca0351ab660","devlyn.eth","Fri, 05 Nov 2021 18:39:27 GMT","1","9"
"2566241","0xe7b30a037f5598e4e73702ca66a59af5cc650dcd","","Fri, 05 Nov 2021 18:39:27 GMT","1","15"
"2566242","0x505c2b951d87b8969b1aa797997b96e5471a4e46","","Fri, 05 Nov 2021 18:39:30 GMT","1","5"
"2566244","0x37fcd624d249b4a2eee74ad9982da563a995b4d1","kavimaluskam.eth","Fri, 05 Nov 2021 18:39:35 GMT","1","8"
"2566245","0x255591d65172569edba279cb73480c76e3ada497","","Fri, 05 Nov 2021 18:39:45 GMT","1","4"
