"ID","Collection","ENS","Minting Date","Tx Count","Power"
"2359638","0x76da95534c57516625948baa9d069d5ed371b324","willblackburn.eth","Fri, 29 Oct 2021 17:04:30 GMT","1","12"
"2359696","0x590724102b617a8d2caa13684c76acae4ca893f1","0xjof.eth","Fri, 29 Oct 2021 17:11:30 GMT","1","4"
"2359697","0x0c137af7a47d47fdedaea06fc710dce2ca3fdbb7","","Fri, 29 Oct 2021 17:11:45 GMT","1","3"
"2359707","0xb07af42fb3114500a8fd95aee58a09c83ae706ed","","Fri, 29 Oct 2021 17:12:40 GMT","1","2"
"2359712","0x37fcd624d249b4a2eee74ad9982da563a995b4d1","kavimaluskam.eth","Fri, 29 Oct 2021 17:13:20 GMT","1","8"
"2359715","0x7f93b033d18dca9fd2ba4cbf2bf73a2df840756c","mishka.eth","Fri, 29 Oct 2021 17:13:30 GMT","1","7"
"2359717","0xfde7625776dfc8e2d96e8574585623c81e54b2da","","Fri, 29 Oct 2021 17:13:55 GMT","1","1"
"2359718","0xcd35671e4d48b0ed69c6534e574d6886bdfbc9be","amontgomery.eth","Fri, 29 Oct 2021 17:14:00 GMT","1","5"
"2359719","0xa7051d46a3c27c7e86afabf183df51b73674adfa","","Fri, 29 Oct 2021 17:14:00 GMT","1","2"
"2359737","0xf1723a2ab8c1160ea6676611b983d4031edb4e2b","","Fri, 29 Oct 2021 17:16:40 GMT","1","3"
"2359752","0xebc0a6be0f6ea7d95a090e71433c2b91068fae4a","","Fri, 29 Oct 2021 17:18:15 GMT","1","2"
"2359781","0x75a6085bbc25665b6891ea94475e6120897ba90b","","Fri, 29 Oct 2021 17:25:30 GMT","1","1"
"2359784","0xb7ee0b6889cd0590a590aab01485ea164db03307","fllstck.eth","Fri, 29 Oct 2021 17:25:30 GMT","1","6"
"2359786","0x86a58e431a05d7cbd2798dd5f10c54123f9c17db","","Fri, 29 Oct 2021 17:25:30 GMT","1","2"
"2359790","0xe7b30a037f5598e4e73702ca66a59af5cc650dcd","","Fri, 29 Oct 2021 17:25:30 GMT","1","15"
"2359791","0xec57157adeb11f9822039a48a97b365bc22cbc49","nathanng.eth","Fri, 29 Oct 2021 17:25:30 GMT","1","7"
"2359792","0xe89c2545e4e05a79d21351cdeeda4651ca48debc","","Fri, 29 Oct 2021 17:25:30 GMT","1","12"
"2359793","0xf79dc10466abbc51244d746ae3405501e17a254e","shaunc.eth","Fri, 29 Oct 2021 17:25:30 GMT","1","7"
"2359794","0x8afd5bffbaa9176d8ed04a865e2236c15423f9cc","","Fri, 29 Oct 2021 17:25:30 GMT","1","3"
"2359799","0xe3d73daae939518c3853e0e8e532ae707cc1a436","nbaronia.eth","Fri, 29 Oct 2021 17:25:45 GMT","1","1"
"2359800","0x46f8351307482c162d7267f0fe08d5efd8ba3bf1","gjsyme.eth","Fri, 29 Oct 2021 17:25:45 GMT","1","7"
"2359801","0x061294782b7c73a675cf54124853c8133e3463fc","","Fri, 29 Oct 2021 17:25:45 GMT","1","3"
"2359802","0x4e8ad3c90f026e4d034b81ba0e1a929e77d80b36","kempsterrrr.eth","Fri, 29 Oct 2021 17:25:45 GMT","1","8"
"2359803","0x57542716ca595fda87e031702fc0684df6754554","","Fri, 29 Oct 2021 17:25:45 GMT","1","8"
"2359805","0x309d80bd9610696b861af6fd51947e7d169bb16c","","Fri, 29 Oct 2021 17:25:45 GMT","1","2"
"2359806","0x9934f8ccfdf5e008ac8c07bf00582a833cd33b99","narbeh.eth","Fri, 29 Oct 2021 17:25:45 GMT","1","7"
"2359807","0xb03f5438f9a243de5c3b830b7841ec315034cd5f","michaelrossman.eth","Fri, 29 Oct 2021 17:25:45 GMT","1","29"
"2359810","0x49f05db4d61a545f450f48b52c96fb3065281ae1","","Fri, 29 Oct 2021 17:25:45 GMT","1","7"
"2359811","0xf61b0ca5036bf36bffe8f36de99d9cca2a31458b","samueldiethelm.eth","Fri, 29 Oct 2021 17:25:45 GMT","1","1"
"2359813","0xa0fd7abc1470042b8fec44aab8cb5b5c053571c8","georgeon.eth","Fri, 29 Oct 2021 17:25:45 GMT","1","5"
"2359814","0x437ee40b17b5b805cfe963caa3ebedc39a98f11a","","Fri, 29 Oct 2021 17:25:45 GMT","1","1"
"2359815","0x6a024f521f83906671e1a23a8b6c560be7e980f4","volky.eth","Fri, 29 Oct 2021 17:25:45 GMT","1","12"
"2359817","0xdb48c58b7689b4b99d2bd062fc03c1297b8b302d","cwong.eth","Fri, 29 Oct 2021 17:25:50 GMT","1","4"
"2359818","0x33ba3aa6ebf9b8f69142f6251a66819899f46cb3","gavinmeier.eth","Fri, 29 Oct 2021 17:25:50 GMT","1","2"
"2359819","0x5dfa1a7f005b61f26c3f6c227723259f0d890d89","svenso.eth","Fri, 29 Oct 2021 17:26:00 GMT","1","31"
"2359820","0xaefacf945a5986f864585a4851293d9f4a14da9b","","Fri, 29 Oct 2021 17:26:00 GMT","1","17"
"2359821","0xb7ae5de3e843a26ca764605f6bec916701f88556","codingwithmanny.eth","Fri, 29 Oct 2021 17:26:00 GMT","1","5"
"2359823","0xf638bf55b9b7b30a7f3286245e13f6198fcc9879","charchar.eth","Fri, 29 Oct 2021 17:26:00 GMT","1","11"
"2359824","0x614583a6a651006d73a64a667b2b96b4e46500e4","","Fri, 29 Oct 2021 17:26:00 GMT","1","9"
"2359825","0xa40440af14537baa96e396cf76fb5737a7177475","","Fri, 29 Oct 2021 17:26:10 GMT","1","4"
"2359826","0xaa55b756cc30eebb2728fe5d43d334625e0a0b4c","","Fri, 29 Oct 2021 17:26:10 GMT","1","6"
"2359828","0x186ea56f0a40c5593a697b3e804968b8c5920ff3","joshcs.eth","Fri, 29 Oct 2021 17:26:35 GMT","1","6"
"2359829","0x93c263a1209dc3cc5bf98781e907167f3cbd91ae","nicnic.eth","Fri, 29 Oct 2021 17:26:50 GMT","1","10"
"2359830","0x55e01790b77f769dc3288bb2695ec95c0b7f3544","","Fri, 29 Oct 2021 17:26:50 GMT","1","1"
"2359831","0x5d4c577553efc33c33806d43144e49559b224eea","","Fri, 29 Oct 2021 17:26:55 GMT","1","4"
"2359834","0x4271b13727994c0a7d27bd536d612e1a82569a8f","","Fri, 29 Oct 2021 17:27:25 GMT","1","5"
"2359835","0x3e94e998a5f9efc045eb57823da62432a02e8fb8","gunvant.eth","Fri, 29 Oct 2021 17:27:35 GMT","1","15"
"2359837","0x1ec1ccef3e1735bda3f4ba698e8a524aa7c93274","mantisdatasolutions.eth","Fri, 29 Oct 2021 17:28:35 GMT","1","43"
"2359842","0x8a534c144042cda0049da4b1cbf26aee6b58a669","","Fri, 29 Oct 2021 17:29:15 GMT","1","2"
"2359860","0x06ce7aa062c3cfef67152ef45147213ee33d42a6","","Fri, 29 Oct 2021 17:32:25 GMT","1","9"
"2359888","0xac2a91e318abf71b5ed42b11dc14b80a12de3ba6","","Fri, 29 Oct 2021 17:36:50 GMT","1","3"
"2359890","0xc9bf304643efeef8ccdd0befddcb90332997954f","","Fri, 29 Oct 2021 17:36:55 GMT","1","4"
"2359894","0xaa5fa3489e5eedfa0726660cf52ca984562e9caa","leecox.eth","Fri, 29 Oct 2021 17:37:30 GMT","1","4"
"2360043","0x64ae4fd3e9906ee4a0189e3a393d19b3e35cdb67","0xpaulie.eth","Fri, 29 Oct 2021 17:50:10 GMT","1","6"
"2360164","0x378ff65cb9e9b83b86aa2534c9991e5b28f1ec92","wolovim.eth","Fri, 29 Oct 2021 17:58:35 GMT","1","12"
"2360167","0x21d58d30112ee38743bf66b0cba9637bac0e6953","lllllllllll.eth","Fri, 29 Oct 2021 17:59:00 GMT","1","11"
"2360170","0x0260747304d05f19ab644cd6e363182396c8bd89","with-heart.eth","Fri, 29 Oct 2021 17:59:45 GMT","1","5"
"2360179","0x44ac194359fa44ece6cb2e53e8c90547bccb95a0","krati.eth","Fri, 29 Oct 2021 18:01:05 GMT","1","1"
"2360189","0xf1d82cf1e2e23f7bed3af2b3e717d35ffb4cdc38","wfqfw.eth","Fri, 29 Oct 2021 18:03:05 GMT","1","15"
"2360212","0xb7ce368a08d06b54352c2bef09dea0cdc066b2a1","","Fri, 29 Oct 2021 18:04:00 GMT","1","11"
"2360217","0x0bb602f88bf886282ff69d4cec937cc2a7d9e19a","kairon.eth","Fri, 29 Oct 2021 18:04:25 GMT","1","8"
"2360220","0xc33c77f59baa77a4f81cb6dd7ce98baf270b0ce9","","Fri, 29 Oct 2021 18:04:40 GMT","1","8"
"2360226","0x249ca6de88676f0fbf2eea257758a302bfc1ab56","","Fri, 29 Oct 2021 18:05:45 GMT","1","4"
"2360230","0x71cf7c81f3a3b1bfbf0f3a22340b7ac0b3399bd4","","Fri, 29 Oct 2021 18:06:30 GMT","1","3"
"2360232","0xb7436fbf2d52844a8b943572afde8137d8160923","justinsingh.eth","Fri, 29 Oct 2021 18:06:55 GMT","1","2"
"2360235","0x216c8f78f7b4e6674ed82ddc178961ec3b7fa099","","Fri, 29 Oct 2021 18:07:35 GMT","1","3"
"2360241","0x03a541009e74cdf7c49064f1be81640d3816f787","","Fri, 29 Oct 2021 18:09:10 GMT","1","1"
"2360256","0x447c68feeb264786a734ae2be03ce8cea051b00f","","Fri, 29 Oct 2021 18:12:50 GMT","1","4"
"2360446","0x505c2b951d87b8969b1aa797997b96e5471a4e46","","Fri, 29 Oct 2021 18:40:50 GMT","1","5"
"2360780","0xcadc6f201822c40d1648792c6a543edf797e7d65","jgonz.eth","Fri, 29 Oct 2021 19:58:30 GMT","1","9"
"2362281","0x7038e05ad5889fd0c5eb03fc52a7a79240feffad","tatara.eth","Fri, 29 Oct 2021 23:11:10 GMT","1","5"
"2365783","0x0ed6cec17f860fb54e21d154b49daefd9ca04106","dhaiwat.eth","Sat, 30 Oct 2021 01:26:33 GMT","1","7"
"2372413","0x2f7367b7ad01dec04ef49336859ea9974ee1c9e0","lucasb.eth","Sat, 30 Oct 2021 17:44:45 GMT","1","2"
